otomoto_id,title,subtitle,href,year,mileage,engine,fuel_type,price,price_currency,price_details,location_city,location_region
6077914708,"Mercedes-Benz CLA","200 Coupe stylizacja AMG/SalonPL/cesja leasingu",https://www.otomoto.pl/oferta/mercedes-benz-cla-200-coupe-stylizacja-amg-salonpl-cesja-leasingu-ID6Dkjgo.html#40e37d35ad,2019,14000,13323,Benzyna,80561,PLN,"Faktura VAT","Ociąż",Wielkopolskie
6072909915,"Mercedes-Benz CLA 180","Nowe auta z maksymalnym rabatem w PL",https://www.otomoto.pl/oferta/mercedes-benz-cla-nowe-auta-z-maksymalnym-rabatem-w-pl-ID6CZjhW.html#40e37d35ad,2020,1,13323,Benzyna,105000,PLN,"Faktura VAT","Warszawa",Mazowieckie
6075477827,"Mercedes-Benz CLA","AUTOMAT Ledy Navi 14,000 km !!",https://www.otomoto.pl/oferta/mercedes-benz-cla-automat-ledy-navi-14-000-km-ID6Da5jR.html#40e37d35ad,2017,14000,16003,Benzyna,83500,PLN,"Do negocjacji, Faktura VAT","Rawicz",Wielkopolskie
6077912894,"Mercedes-Benz CLA","1.3 CLA200 (163KM) LINIA AMG | Pakiet Premium + Keyless GO + LED",https://www.otomoto.pl/oferta/mercedes-benz-cla-1-3-cla200-163km-linia-amg-pakiet-premium-keyless-go-led-ID6DkiN8.html#40e37d35ad,2020,1,13323,Benzyna,172900,PLN,"Faktura VAT","Chorzów",Śląskie
6077250819,"Mercedes-Benz CLA 200","200 SB AMG/Automat/Navi/MBUX/LED/Easy Pack/Tempomat/",https://www.otomoto.pl/oferta/mercedes-benz-cla-200-sb-amg-automat-navi-mbux-led-easy-pack-tempomat-ID6Dhvyw.html#40e37d35ad,2019,18700,13323,Benzyna,169900,PLN,"Faktura VAT","Straszyn",Pomorskie
6077234582,"Mercedes-Benz CLA 180","Rabat 24 929 zł! Mercedes CLA 180 Coupe AMG Line 7G DCT! Nowy z Salonu",https://www.otomoto.pl/oferta/mercedes-benz-cla-rabat-24-929-zl-mercedes-cla-180-coupe-amg-line-7g-dct-nowy-z-salonu-ID6DhskC.html#40e37d35ad,2020,1,13323,Benzyna,141263,PLN,"Faktura VAT","Warszawa",Mazowieckie
6078091864,"Mercedes-Benz CLA 200","200 Shooting Brake, Premium Plus, linia AMG",https://www.otomoto.pl/oferta/mercedes-benz-cla-200-shooting-brake-premium-plus-linia-amg-ID6Dl3lK.html#40e37d35ad,2020,10,13323,Benzyna,191999,PLN,"Faktura VAT","Nowe Gulczewo",Mazowieckie
6076152297,"Mercedes-Benz CLA 250","Mercedes CLA 250 211KM 71tys.km Lift na 2015",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-cla-250-211km-71tys-km-lift-na-2015-ID6DcUMp.html#40e37d35ad,2014,71000,19913,Benzyna,61500,PLN,"Możliwość odliczenia VAT, Do negocjacji, Faktura VAT","Kęty",Małopolskie
6078124633,"Mercedes-Benz CLA 200","faktura VAT23%",https://www.otomoto.pl/oferta/mercedes-benz-cla-faktura-vat23-ID6DlbSh.html#40e37d35ad,2013,31000,17963,Diesel,65000,PLN,"Faktura VAT","Warszawa",Mazowieckie
6059888726,"Mercedes-Benz CLA","220 CDI AMG 4 matic * panorama * navi * kamera * SUPER STAN !",https://www.otomoto.pl/oferta/mercedes-benz-cla-220-cdi-amg-4-matic-panorama-navi-kamera-super-stan-ID6C6FSK.html#40e37d35ad,2015,159000,21483,Diesel,87900,PLN,"Do negocjacji","Jastrzębie-Zdrój",Śląskie
6077247442,"Mercedes-Benz CLA 250","250 4M Coupe Multibeam Kam360 Distronic Martwe Pole Mbux F Vat23%",https://www.otomoto.pl/oferta/mercedes-benz-cla-250-4m-coupe-multibeam-kam360-distronic-martwe-pole-mbux-f-vat23-ID6DhwG2.html#40e37d35ad,2019,31890,19913,Benzyna,184900,PLN,"Faktura VAT","Poznań",Wielkopolskie
6078122990,"Mercedes-Benz CLA 200","1.8 diesel*Salon RP*1 wł*bezwypadkowy*navi*kamera*łopatki*stan idealny",https://www.otomoto.pl/oferta/mercedes-benz-cla-1-8-dieselsalon-rp1-wlbezwypadkowynavikameralopatkistan-idealny-ID6DlbrM.html#40e37d35ad,2013,129000,17963,Diesel,73900,PLN,"Do negocjacji","Warszawa",Mazowieckie
6077908827,"Mercedes-Benz CLA","1.3 CLA200 (163KM) LINIA AMG | Pakiet Premium + Pakiet Night + Keyless",https://www.otomoto.pl/oferta/mercedes-benz-cla-1-3-cla200-163km-linia-amg-pakiet-premium-pakiet-night-keyless-ID6DkhJx.html#40e37d35ad,2020,1,13323,Benzyna,163500,PLN,"Faktura VAT","Chorzów",Śląskie
6077908413,"Mercedes-Benz CLA 200","Mercedes CLA200 AMG Line 7G DCT Pakiety Premium, Night, komf. siedzeń",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-cla200-amg-line-7g-dct-pakiety-premium-night-komf-siedzen-ID6DkhCR.html#40e37d35ad,2019,20329,13323,Benzyna,153900,PLN,"Faktura VAT","Konin",Wielkopolskie
6076911322,"Mercedes-Benz CLA","Mercedes Benz CLA250",https://www.otomoto.pl/oferta/mercedes-benz-cla-mercedes-benz-cla250-ID6Dg6eK.html#40e37d35ad,2015,94230,19913,Benzyna,78900,PLN,"","Nakło nad Notecią",Kujawsko-pomorskie
6076972940,"Mercedes-Benz CLA 200","200 Shooting brake AMG, LED, Ambiente, MBUX, Navi, Dealer",https://www.otomoto.pl/oferta/mercedes-benz-cla-200-shooting-brake-amg-led-ambiente-mbux-navi-dealer-ID6DgmgA.html#40e37d35ad,2019,18700,13323,Benzyna,169900,PLN,"Faktura VAT","Zielona Góra",Lubuskie
6073431187,"Mercedes-Benz CLA","Zadbany 2017 salonowy bogato wyposażony manualny możliwa zamiana",https://www.otomoto.pl/oferta/mercedes-benz-cla-zadbany-2017-salonowy-bogato-wyposazony-manualny-mozliwa-zamiana-ID6D1uTx.html#40e37d35ad,2016,23000,16003,Benzyna,91200,PLN,"","Olsztynek",Warmińsko-mazurskie
6077127634,"Mercedes-Benz CLA 250","4 matic silnik wraz z osprzętem fabrycznie nowy Gwarancja",https://www.otomoto.pl/oferta/mercedes-benz-cla-4-matic-silnik-wraz-z-osprzetem-fabrycznie-nowy-gwarancja-ID6Dh0wE.html#40e37d35ad,2015,82500,19913,Benzyna,85000,PLN,"Do negocjacji","Parczew",Lubelskie
